id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,cmc_rank,last_updated,quote_usd_price,quote_usd_volume_24h,quote_usd_volume_change_24h,quote_usd_percent_change_1h,quote_usd_percent_change_24h,quote_usd_percent_change_7d,quote_usd_percent_change_30d,quote_usd_percent_change_60d,quote_usd_percent_change_90d,quote_usd_market_cap,quote_usd_market_cap_dominance,quote_usd_fully_diluted_market_cap,quote_usd_tvl,quote_usd_last_updated,platform_id,platform_name,platform_symbol,platform_slug,platform_token_address
1,Bitcoin,BTC,bitcoin,9620,2013-04-28T00:00:00Z,21000000,19091375,19091375,1,2022-07-12T00:20:00Z,19975.13775,24243783476,-15.0433,-0.04203451,-3.74516522,-1.40013448,-29.8233932,-30.63368065,-50.25184574,3.81E+11,42.888,4.19E+11,,2022-07-12T00:20:00Z,,,,,
1027,Ethereum,ETH,ethereum,5820,2015-08-07T00:00:00Z,,121509009.2,121509009.2,2,2022-07-12T00:19:00Z,1097.069843,12111706088,10.0236,-0.1029145,-5.85746002,-4.84266538,-28.70368379,-43.59924126,-63.86998251,1.33E+11,14.9917,1.33E+11,,2022-07-12T00:19:00Z,,,,,
825,Tether,USDT,tether,35968,2015-02-25T00:00:00Z,,65990930061,68156976395,3,2022-07-12T00:19:00Z,0.999258081,38840404681,-2.8783,0.00293521,-0.02222597,0.01780253,0.01903135,0.19298294,-0.1067277,65941970133,7.416,68106409436,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7
3408,USD Coin,USDC,usd-coin,4828,2018-10-08T00:00:00Z,,55546939563,55546939563,4,2022-07-12T00:19:00Z,0.999931267,4853356321,10.0772,-0.00634184,-0.00643424,-0.00144429,-0.00124978,-0.04791053,-0.01535248,55543121678,6.2465,55543121678,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48
1839,BNB,BNB,bnb,1001,2017-07-25T00:00:00Z,165116760,163276974.6,163276974.6,5,2022-07-12T00:19:00Z,225.0816392,1034321601,16.9683,-0.31108439,-3.90444275,-2.86967738,-16.85702778,-15.49927774,-45.70660308,36750649097,4.1331,37164751004,,2022-07-12T00:19:00Z,,,,,
4687,Binance USD,BUSD,binance-usd,4036,2019-09-20T00:00:00Z,,17547224379,17547224379,6,2022-07-12T00:20:00Z,0.999698414,4262676749,-4.3116,0.04448645,-0.01273304,-0.2676919,-0.11003014,-0.21385539,-0.16569207,17541932385,1.9728,17541932385,,2022-07-12T00:20:00Z,1839,BNB,BNB,bnb,BUSD-BD1
52,XRP,XRP,xrp,756,2013-08-04T00:00:00Z,1.00E+11,48343101197,99989535142,7,2022-07-12T00:20:00Z,0.316474528,1048241354,14.9488,1.03160308,-2.63160641,-3.82378664,-12.41579231,-17.36164534,-55.84603014,15299360113,1.7206,31647452758,,2022-07-12T00:20:00Z,,,,,
2010,Cardano,ADA,cardano,516,2017-10-01T00:00:00Z,45000000000,33739028516,34512850429,8,2022-07-12T00:19:00Z,0.436569575,739738508.4,21.6376,0.26538238,-5.31122571,-6.79736001,-21.79741899,-7.14100062,-54.32774997,14729433324,1.6565,19645630854,,2022-07-12T00:19:00Z,,,,,
5426,Solana,SOL,solana,348,2020-04-10T00:00:00Z,,345441988.2,511616946.1,9,2022-07-12T00:19:00Z,33.65870178,931575836,31.3547,0.34041369,-7.80933514,-8.41508534,-1.57682922,-23.80797141,-67.6194716,11627128863,1.3076,17220362214,,2022-07-12T00:19:00Z,,,,,
74,Dogecoin,DOGE,dogecoin,506,2013-12-15T00:00:00Z,,1.33E+11,1.33E+11,10,2022-07-12T00:20:00Z,0.061938779,326273408,10.0698,0.43170181,-7.44175372,-10.80830506,-11.85859263,-25.18714348,-55.34215388,8217465131,0.9242,8217465131,,2022-07-12T00:20:00Z,,,,,
4943,Dai,DAI,multi-collateral-dai,1024,2019-11-22T00:00:00Z,,6917628479,6917628479,11,2022-07-12T00:20:00Z,0.999335608,173796948,-8.6829,-0.00234149,0.00792746,-0.15309463,-0.05065073,-0.15578538,-0.10997799,6913032459,0.7775,6913032459,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x6b175474e89094c44da98b954eedeac495271d0f
6636,Polkadot,DOT,polkadot-new,363,2020-08-19T00:00:00Z,,987579315,1103303471,12,2022-07-12T00:20:00Z,6.553854433,332818569.3,-20.3126,0.18620695,-3.96619086,-8.67072328,-18.96314803,-23.68270084,-63.26713891,6472451071,0.7279,7230890347,,2022-07-12T00:20:00Z,,,,,
1958,TRON,TRX,tron,655,2017-09-13T00:00:00Z,,92479862707,92479852628,13,2022-07-12T00:19:00Z,0.064678525,498636005.7,-7.0013,-0.05367694,-4.24604188,-5.47590584,-15.20448594,-3.40321387,7.78016064,5981461094,0.6727,5981460442,,2022-07-12T00:19:00Z,,,,,
5994,Shiba Inu,SHIB,shiba-inu,375,2020-08-01T00:00:00Z,,5.49E+14,5.90E+14,14,2022-07-12T00:19:00Z,0.0000103,331405691.7,-0.9873,0.35995726,-6.68498499,-1.4077541,10.0069107,-3.30806366,-61.77027825,5676353960,0.6384,6096828733,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
3957,UNUS SED LEO,LEO,unus-sed-leo,19,2019-05-21T00:00:00Z,,953954130,985239504,15,2022-07-12T00:19:00Z,5.380375729,3409042.265,-4.7563,0.14805267,-4.16387041,-6.39053892,-2.08210572,5.9194024,-5.55115206,5132631647,0.5772,5300958714,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3
3717,Wrapped Bitcoin,WBTC,wrapped-bitcoin,472,2019-01-30T00:00:00Z,,249980.3895,249980.3895,16,2022-07-12T00:19:00Z,19959.19651,131217821.4,14.467,-0.05977856,-3.97452568,-1.4493383,-29.88932359,-30.79154106,-50.2592158,4989407718,0.5611,4989407718,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
5805,Avalanche,AVAX,avalanche,283,2020-07-13T00:00:00Z,720000000,283376071,404229626.5,17,2022-07-12T00:19:00Z,17.39770201,340441546.7,5.8978,-0.36876803,-8.84382306,-2.71984848,-13.13087923,-41.66442559,-77.30331985,4930092440,0.5544,12526345448,,2022-07-12T00:19:00Z,,,,,
3890,Polygon,MATIC,polygon,422,2019-04-28T00:00:00Z,10000000000,8006803853,10000000000,18,2022-07-12T00:19:00Z,0.561697323,600103770.4,79.1449,-0.17207292,-0.73852805,13.6714336,3.09001072,-5.50534977,-59.8664676,4497400294,0.5058,5616973235,,2022-07-12T00:19:00Z,,,,,
7083,Uniswap,UNI,uniswap,385,2020-09-17T00:00:00Z,1000000000,734135450.7,1000000000,19,2022-07-12T00:20:00Z,5.53824418,239194935.8,47.3275,-0.03667387,-10.89025892,3.63224553,25.76740236,19.26777343,-40.78008268,4065821387,0.4573,5538244180,4995002280,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984
2,Litecoin,LTC,litecoin,797,2013-04-28T00:00:00Z,84000000,70698393.78,84000000,20,2022-07-12T00:20:00Z,48.71194218,391220667,-35.743,-0.01258021,-6.2597231,-6.70292996,-7.29254111,-23.48361049,-53.57880401,3443856070,0.3873,4091803143,,2022-07-12T00:20:00Z,,,,,
4195,FTX Token,FTT,ftx-token,130,2019-07-31T00:00:00Z,352170015,135348550.2,331217886.3,21,2022-07-12T00:20:00Z,24.97917847,61613491.23,26.6306,0.03994598,-3.11332812,-3.78433678,-9.33283262,-15.09555035,-40.37797331,3380895591,0.3802,8796917655,,2022-07-12T00:20:00Z,1839,BNB,BNB,bnb,FTT-F11
3635,Cronos,CRO,cronos,139,2018-12-14T00:00:00Z,30263013692,25263013692,30263013692,22,2022-07-12T00:19:00Z,0.11313513,21388417.08,77.169,-0.4451153,-4.61553473,-4.58515699,-26.38478682,-35.57449541,-72.87456521,2858134326,0.3214,3423809974,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0xa0b73e1ff0b80914ab6fe0444e65848c4c34450b
1975,Chainlink,LINK,chainlink,673,2017-09-20T00:00:00Z,1000000000,467099970.5,1000000000,23,2022-07-12T00:19:00Z,6.070718566,332170067.9,31.2494,0.60854572,-2.16095174,-5.45054465,-14.51621667,-6.81620868,-56.61448859,2835632463,0.3189,6070718566,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca
512,Stellar,XLM,stellar,438,2014-08-05T00:00:00Z,50001806812,25082749946,50001787671,24,2022-07-12T00:20:00Z,0.101921371,134751607.9,-8.8068,0.25800015,-4.52532325,-8.22730775,-19.21855289,-15.34176878,-47.09178091,2556468259,0.2875,5096252694,,2022-07-12T00:20:00Z,,,,,
3794,Cosmos,ATOM,cosmos,305,2019-03-14T00:00:00Z,,286370297,0,26,2022-07-12T00:19:00Z,8.287186242,268712042.9,-34.8307,-0.3914998,-5.11775008,-6.76223372,8.99932027,-12.97778268,-66.48965216,2373203986,0.2669,0,,2022-07-12T00:19:00Z,,,,,
6535,NEAR Protocol,NEAR,near-protocol,173,2020-08-11T00:00:00Z,1000000000,731259183,1000000000,25,2022-07-12T00:20:00Z,3.24384707,188391160.3,1.4051,0.20329374,-7.81505515,-7.90690422,-21.42671964,-48.8444874,-80.47422271,2372092958,0.2668,3243847070,,2022-07-12T00:20:00Z,,,,,
328,Monero,XMR,monero,183,2014-05-21T00:00:00Z,,18146394.18,18146394.18,27,2022-07-12T00:20:00Z,126.7609321,161422838.5,59.4265,0.51142603,-1.65704593,2.276865,-23.75120447,-6.52748976,-45.41945504,2300253841,0.2587,2300253841,,2022-07-12T00:20:00Z,,,,,
4030,Algorand,ALGO,algorand,232,2019-06-20T00:00:00Z,10000000000,6976339268,7377578216,28,2022-07-12T00:19:00Z,0.297609301,71022688.07,6.2303,0.06062622,-3.59182305,-6.84624702,-15.07894403,-28.60371472,-59.07065537,2076223455,0.2335,2976093012,,2022-07-12T00:19:00Z,,,,,
1321,Ethereum Classic,ETC,ethereum-classic,316,2016-07-24T00:00:00Z,210700000,135760737.8,210700000,29,2022-07-12T00:19:00Z,14.24297153,225097099,8.4758,0.42729006,-5.46819703,-7.60371463,-22.27970454,-23.98126818,-62.7849541,1933636324,0.2175,3000994101,,2022-07-12T00:19:00Z,,,,,
1831,Bitcoin Cash,BCH,bitcoin-cash,616,2017-07-23T00:00:00Z,21000000,19114637.5,19114637.5,30,2022-07-12T00:19:00Z,99.70034126,1224884828,-2.2641,0.34004323,-6.81811875,-7.71059201,-36.64095735,-48.25194792,-67.31749851,1905735882,0.2143,2093707166,,2022-07-12T00:19:00Z,,,,,
3077,VeChain,VET,vechain,190,2017-08-22T00:00:00Z,86712634466,72511146418,85985041177,31,2022-07-12T00:19:00Z,0.02216285,76780067.03,11.0646,0.48138976,-5.05570928,-5.10984458,-20.63956929,-18.80531923,-63.18162886,1607053684,0.1807,1921799138,,2022-07-12T00:19:00Z,,,,,
4558,Flow,FLOW,flow,81,2021-01-27T00:00:00Z,,1036200000,1385626326,32,2022-07-12T00:20:00Z,1.511140246,21170961.24,-17.9447,-0.20865963,-7.47359904,-6.47716037,-27.13368848,-43.0908738,-73.70347295,1565843523,0.1761,2093875708,,2022-07-12T00:20:00Z,,,,,
8916,Internet Computer,ICP,internet-computer,124,2021-03-23T00:00:00Z,,245763241.1,484291809.7,33,2022-07-12T00:20:00Z,6.254922664,111682515,34.1086,1.39821731,-1.67904549,10.01630632,3.95294267,-12.51312062,-62.52542758,1537230067,0.1729,3029207817,,2022-07-12T00:20:00Z,,,,,
1966,Decentraland,MANA,decentraland,285,2017-09-17T00:00:00Z,,1849216541,2193629627,34,2022-07-12T00:19:00Z,0.808376468,132640485.8,16.64,0.18809115,-6.55939315,-11.22850251,-1.84558884,14.68461362,-62.4133291,1494863136,0.1681,1773278571,,2022-07-12T00:19:00Z,1027,Ethereum,ETH,ethereum,0x0f5d2fb29fb7d3cfee444a200298f468908cc942
2011,Tezos,XTZ,tezos,222,2017-10-06T00:00:00Z,,901283701.7,922835475,35,2022-07-12T00:19:00Z,1.590395436,122799913.4,133.0506,0.49862455,-1.91783295,3.15953042,-12.89602118,-4.43913898,-48.32464129,1433397486,0.1612,1467673328,,2022-07-12T00:19:00Z,,,,,
6210,The Sandbox,SAND,the-sandbox,237,2020-08-05T00:00:00Z,3000000000,1258626081,3000000000,36,2022-07-12T00:20:00Z,1.096514794,291767922.4,36.9398,0.02474874,-5.17114918,-9.795044,1.31489884,-1.40227146,-60.68525386,1380102118,0.1552,3289544382,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x3845badAde8e6dFF049820680d1F14bD3903a5d0
18876,ApeCoin,APE,apecoin-ape,180,2022-03-17T12:26:36Z,1000000000,299531250,1000000000,37,2022-07-12T00:20:00Z,4.350852124,178111990.7,21.7212,0.4750154,-8.6818633,-12.44680343,-8.87523526,-44.6529578,-63.12882252,1303216175,0.1466,4350852124,,2022-07-12T00:20:00Z,1027,Ethereum,ETH,ethereum,0x4d224452801aced8b2f0aebe155379bb5d594381
4642,Hedera,HBAR,hedera,106,2019-09-17T00:00:00Z,50000000000,21084776584,50000000000,38,2022-07-12T00:20:00Z,0.060787231,22286530.19,-15.0377,0.63382757,-5.93536099,-4.61947341,-22.43100702,-29.43116501,-69.45523606,1281685177,0.1441,3039361532,,2022-07-12T00:20:00Z,,,,,
